Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
11/8/20	401,093		12	688	627	60	4	1				
11/9/20	406,876		2	690	632	57	5	1				
11/10/20	413,860		9	699	635	63	8	1				
11/11/20	420,734		19	718	644	73	9	1				
11/12/20	427,368		30	748	646	101	10	1				
11/13/20	433,861		23	771	653	117	10	1				
11/14/20	440,363		20	791	663	127	4	1				
11/15/20	443,449		17	808	665	142	4	1				
11/16/20	446,278		6	814	678	135	7	1				
11/17/20	452,890		9	823	688	134	6	1				
11/18/20	459,386		11	834	696	137	5	1				
11/19/20	465,685		18	852	707	144	6	1				
11/20/20	471,551		38	890	731	158	7	1				
11/21/20	480,145		23	913	762	150	7	1				
11/22/20	482,528		25	938	804	133	5	1				
11/23/20	484,840		11	949	819	129	4	1				
11/24/20	490,876		18	967	836	130	8	1				
11/25/20	495,348		35	1,002	868	133	5	1				
11/26/20	501,001		25	1,027	872	154	4	1				
11/27/20	503,174		31	1,058	882	175	2	1				
11/28/20	506,514		29	1,087	896	188	6	3				
11/29/20	507,714		13	1,100	917	179	9	4				
11/30/20	509,126		29	1,129	932	193	10	4				
12/1/20	512,035	1,336	34	1,163	940	219	5	4				
12/2/20	512,061	2,899	26	1,189	959	226	4	4				
12/3/20	512,600	3,461	23	1,212	975	233	5	4				
12/4/20	516,504	2,485	38	1,250	995	251	3	4				
12/5/20	520,930	2,865	24	1,274	1,013	257	4	4				
12/6/20	521,276	3,166	25	1,299	1,053	242	4	4				
12/7/20	521,748	707	61	1,360	1,062	293	4	5				
12/8/20	521,770	828	22	1,382	1,090	287	10	5				
12/9/20	530,123	4,605	26	1,408	1,112	291	10	5				
12/10/20	533,569	3,234	27	1,435	1,125	305	9	5				
12/11/20	537,302	3,501	47	1,482	1,156	321	12	5				
12/12/20	539,631	3,085	33	1,515	1,202	307	8	6				
12/13/20	542,150	436	30	1,545	1,231	308	8	6				
12/14/20	542,280	130	23	1,568	1,273	289	13	6				
12/15/20	542,775	495	25	1,593	1,315	272	12	6				
12/16/20	545,567	2,792	33	1,626	1,360	260	12	6				
12/17/20	548,753	3,186	37	1,663	1,398	259	11	6				
12/18/20	551,590	2,837	20	1,683	1,429	248	9	6				
12/19/20	554,093	2,503	51	1,734	1,476	252	10	6				
12/20/20	557,905	3,812	18	1,752	1,494	252	14	6				
12/21/20	558,417	512	15	1,767	1,534	221	12	12				
12/22/20	559,110	693	30	1,797	1,569	216	13	12				
12/23/20	561,784	2,674	30	1,827	1,595	219	14	13				
12/24/20	564,374	2,590	43	1,870	1,619	238	16	13				
12/25/20	566,307	1,933	37	1,907	1,642	252	16	13				
12/26/20	566,516	209	6	1,913	1,672	228	24	13				
12/27/20	566,808	292	21	1,934	1,696	225	26	13				
12/28/20	568,519	1,711	14	1,948	1,709	226	29	13				
12/29/20	569,049	530	42	1,990	1,735	242	25	13				
12/30/20	570,975	1,926	41	2,031	1,766	251	23	14				
12/31/20	573,003	2,028	38	2,069	1,786	269	22	14				
1/2/21	575,037	2,034	27	2,096	1,815	267	30	14				
1/3/21	575,400	363	13	2,109	1,843	251	31	15				
1/4/21	577,277	1,877	18	2,127	1,859	252	31	16				
1/5/21	578,515	1,238	50	2,177	1,876	285	24	16				
1/6/21	580,810	2,295	54	2,231	1,896	318	20	17				
1/7/21	582,384	1,574	49	2,280	1,939	324	22	17				
1/8/21	585,048	2,664	49	2,329	1,982	330	32	17				
1/9/21	587,382	2,334	26	2,355	2,022	316	21	17				
1/10/21	589,402	2,020	17	2,372	2,062	293	21	17				
1/11/21	590,338	936	13	2,385	2,099	269	20	17				
1/12/21	591,430	1,092	39	2,424	2,140	266	29	18				
1/13/21	593,879	2,449	27	2,451	2,164	269	9	18				
1/14/21	595,886	2,007	43	2,494	2,198	278	12	18				
1/15/21	599,076	3,190	41	2,535	2,227	289	10	19				
1/16/21	602,107	3,031	40	2,575	2,270	286	16	19				
1/17/21	604,993	2,886	33	2,608	2,316	273	21	19				
1/18/21	606,158	1,165	18	2,626	2,346	261	21	19				
1/19/21	607,432	1,274	51	2,677	2,385	273	18	19				
1/20/21	608,343	911	62	2,739	2,423	295	17	21				
1/21/21	613,763	5,420	31	2,770	2,450	299	19	21				
1/22/21	617,570	3,807	32	2,802	2,480	301	22	21				
1/23/21	621,570	4,000	20	2,822	2,504	297	20	21				
1/25/21	626,148	4,578	10	2,832	2,542	269	19	21				
1/26/21	629,615	3,467	14	2,846	2,576	248	13	22				
1/27/21	634,379	4,764	31	2,877	2,620	235	8	22				
1/28/21	639,495	5,116	24	2,901	2,652	227	9	22				
1/29/21	644,364	4,869	30	2,931	2,680	228	11	23				
1/30/21	649,136	4,772	23	2,954	2,708	223	12	23				
1/31/21	653,276	4,140	21	2,975	2,738	214	12	23				
2/1/21	656,604	3,328	14	2,989	2,766	200	12	23				
2/2/21	660,467	3,863	29	3,018	2,789	204	15	25				
